D	N	ডণ	0
D	t	ডত	0
D	th	ডথ	0
D	d	ডদ	0
D	dh	ডধ	0
D	n	ডন	0
D	p	ডপ	0
D	f	ডফ	0
D	ph	ডফ	0
D	b	ডব	0
D	v	ডভ	0
D	bh	ডভ	0
D	m	ডম	0
D	z	ডয	0
D	r	ড্র	1
D	l	ডল	0
D	Sh	ডষ	0
D	sh	ডশ	0
D	s	ডস	0
D	h	ঢ	0
D	y	ড্য	1
Dh	k	ঢক	0
Dh	kh	ঢখ	0
Dh	g	ঢগ	0
Dh	gh	ঢঘ	0
Dh	c	ঢচ	0
Dh	ch	ঢছ	0
Dh	j	ঢজ	0
Dh	jh	ঢঝ	0
Dh	T	ঢট	0
Dh	Th	ঢঠ	0
Dh	D	ঢড	0
Dh	Dh	ঢঢ	0
Dh	N	ঢণ	0
Dh	t	ঢত	0
Dh	th	ঢথ	0
Dh	d	ঢদ	0
Dh	dh	ঢধ	0
Dh	n	ঢন	0
Dh	p	ঢপ	0
Dh	f	ঢফ	0
Dh	ph	ঢফ	0
Dh	b	ঢব	0
Dh	v	ঢভ	0
Dh	bh	ঢভ	0
Dh	m	ঢম	0
Dh	z	ঢয	0
Dh	r	ঢ্র	1
Dh	l	ঢল	0
Dh	Sh	ঢষ	0
Dh	sh	ঢশ	0
Dh	s	ঢস	0
Dh	h	ঢহ	0
Dh	y	ঢ্য	1
N	k	ণক	0
N	kh	ণখ	0
N	g	ঙ	0
N	gh	ঙহ	0
N	c	ণচ	0
N	ch	ণছ	0
N	j	ণজ	0
N	jh	ণঝ	0
N	T	ণ্ট	1
N	Th	ণ্ঠ	1
N	D	ণ্ড	1
N	Dh	ণ্ঢ	1
N	N	ণ্ণ	1
N	t	ণত	0
N	th	ণথ	0
N	d	ণদ	0
N	dh	ণধ	0
N	n	ণ্ন	1
N	p	ণপ	0
N	f	ণফ	0
N	ph	ণফ	0
N	b	ণব	0
N	v	ণভ	0
N	bh	ণভ	0
N	m	ণ্ম	1
N	z	ণয	0
N	r	ণ্র	1
N	l	ণল	0
N	Sh	ণষ	0
N	sh	ণশ	0
N	s	ণস	0
N	h	ণহ	0
N	y	ণ্য	1
t	k	তক	0
t	kh	তখ	0
t	g	তগ	0
t	gh	তঘ	0
t	c	তচ	0
t	ch	তছ	0
t	j	তজ	0
t	jh	তঝ	0
t	T	তট	0
t	Th	তঠ	0
t	D	তড	0
t	Dh	তঢ	0
t	N	তণ	0
t	t	ত্ত	1
t	th	ত্থ	1
t	d	তদ	0
t	dh	তধ	0
t	n	ত্ন	1
t	p	তপ	0
t	f	তফ	0
t	ph	তফ	0
t	b	তব	0
t	v	তভ	0
t	bh	তভ	0
t	m	ত্ম	1
t	z	তয	0
t	r	ত্র	1
t	l	তল	0
t	Sh	তষ	0
t	sh	তশ	0
t	s	তস	0
t	h	থ	0
t	y	ত্য	1
th	k	থক	0
th	kh	থখ	0
th	g	থগ	0
th	gh	থঘ	0
th	c	থচ	0
th	ch	থছ	0
th	j	থজ	0
th	jh	থঝ	0
th	T	থট	0
th	Th	থঠ	0
th	D	থড	0
th	Dh	থঢ	0
th	N	থণ	0
th	t	থত	0
th	th	থথ	0
th	d	থদ	0
th	dh	থধ	0
th	n	থন	0
th	p	থপ	0
th	f	থফ	0
th	ph	থফ	0
th	b	থব	0
th	v	থভ	0
th	bh	থভ	0
th	m	থম	0
th	z	থয	0
th	r	থ্র	1
th	l	থল	0
th	Sh	থষ	0
th	sh	থশ	0
th	s	থস	0
th	h	থহ	0
th	y	থ্য	1
d	k	দক	0
